S No.	Player Name	Exact Rating	BASE PRICE	Role
1	Nitish Kumar Reddy	6.78	50 LAKHS	BATSMEN
2	Meg Lanning	8.26	1.5CR	BATSMEN
3	AB de Villiers 	9.55	2CR	BATSMEN
4	Mayank Agarwal	7.5	1CR	BATSMEN
5	Smriti Mandhana 	9.91	2CR	BATSMEN
6	Rinku Singh	8.33	1.5CR	BATSMEN
7	Shane Watson	8.52	1.5CR	BATSMEN
8	Devdutt Padikkal	7.92	1CR	BATSMEN
9	Shubman Gill 	9.35	2CR	BATSMEN
10	Shaun Marsh	6.82	50 LAKHS	BATSMEN
11	Virat Kohli 	9.98	2CR	BATSMEN
12	Tim David	8.4	1.5CR	BATSMEN
13	Sai Sudharsan 	9.32	2CR	BATSMEN
14	Laura Wolvaardt	8.38	1.5CR	BATSMEN
15	Yashasvi Jaiswal	9.52	2CR	BATSMEN
16	Travis Head	8.12	1.5CR	BATSMEN
17	Suryakumar Yadav 	9.22	2CR	BATSMEN
18	Gautam Gambhir	8.05	1.5CR	BATSMEN
19	Faf du Plessis 	8.89	1.5CR	BATSMEN
20	Rohit Sharma 	9.97	2CR	BATSMEN
21	Tilak Verma	8.87	1.5CR	BATSMEN
22	David Warner 	9.88	2CR	BATSMEN
23	Devon Conway	7.72	1CR	BATSMEN
24	Matthew Short	6.74	50 LAKHS	BATSMEN
25	Harmanpreet Kaur	8.08	1.5CR	BATSMEN
26	Ruturaj Gaikwad	8.55	1.5CR	BATSMEN
27	Abhishek Sharma	8.67	1.5CR	BATSMEN
28	Chris Gayle 	9.89	2CR	BATSMEN
29	Shimron Hetmyer	7.77	1CR	BATSMEN
30	Manish Pandey	8.75	1.5CR	BATSMEN
31	Shivam Dube	8.63	1.5CR	BATSMEN
32	Shafali Verma	7.93	1CR	BATSMEN
33	Ambati Rayudu	8.55	1.5CR	BATSMEN
34	Shikhar Dhawan 	9.72	2CR	BATSMEN
35	Grace Harris	7.52	1CR	BATSMEN
36	Steve Smith	7.89	1CR	BATSMEN
37	David Miller	8.78	1.5CR	BATSMEN
38	Robin Uthappa	8.46	1.5CR	BATSMEN
39	Daryl Mitchell	7.96	1CR	BATSMEN
40	Jemimah Rodrigues	7.09	1CR	BATSMEN
41	Kane Williamson 	9.55	2CR	BATSMEN
42	Shashank Singh	7.79	1CR	BATSMEN
43	Riyan Parag	7.31	1CR	BATSMEN
44	Harleen Deol	6.79	50 LAKHS	BATSMEN
45	Shreyas Iyer 	9.85	2CR	BATSMEN
46	Ellyse Perry 	9.47	2CR	BATSMEN
47	Alex Hales	5.85	30 LAKHS	BATSMEN
48	Suresh Raina	9.87	2CR	BATSMEN
49	Sophie Devine	9.51	2CR	ALL ROUNDER
50	Mitchell Santner	7.85	1CR	ALL ROUNDER
51	Sunil Narine 	9.81	2CR	ALL ROUNDER
52	Venkatesh Iyer	8.52	1.5CR	ALL ROUNDER
53	Washington Sundar	7.62	1CR	ALL ROUNDER
54	Andre Russel	9.11	2CR	ALL ROUNDER
55	Pooja Vastrakar	5.95	30 LAKHS	ALL ROUNDER
56	Glenn Maxwell	8.95	1.5CR	ALL ROUNDER
57	Mitchell Marsh	8.55	1.5CR	ALL ROUNDER
58	Sam Curran	7.88	1CR	ALL ROUNDER
59	Ashleigh Gardner	7.73	1CR	ALL ROUNDER
60	Ravindra Jadeja 	9.64	2CR	ALL ROUNDER
61	Will Jacks	8.13	1.5CR	ALL ROUNDER
62	Axar Patel 	9.32	2CR	ALL ROUNDER
63	Amelia Kerr	8.96	1.5CR	ALL ROUNDER
64	Hardik Pandya 	9.78	2CR	ALL ROUNDER
65	Nat Sciver-Brunt 	9.81	2CR	ALL ROUNDER
